codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-02-0148-46,12-02-0150-46,"INSTITUTO TECNOLÓGICO PRIVADO URBANO MIXTO ""FERDINAND LASSALLE""","INSTITUTO TECNOLÓGICO PRIVADO URBANO MIXTO ""FERDINAND LASSALLE""",100.0,78.5,False,True,True
12-02-0173-46,12-02-0188-46,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",100.0,97.9,True,True,True
12-02-0173-46,12-02-3695-46,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",100.0,97.9,True,True,True
12-02-0186-46,12-02-0187-46,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",100.0,100.0,True,True,True
12-02-0188-46,12-02-3695-46,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",100.0,100.0,True,True,True
12-02-0189-46,12-02-4737-46,"COLEGIO PARTICULAR ""LICEO MINERVA""","COLEGIO PARTICULAR ""LICEO MINERVA""",100.0,100.0,True,True,True
12-02-1039-46,12-02-4132-46,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS C.E.S.C,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS CESC,97.3,81.4,True,True,True
12-11-0035-46,12-11-0045-46,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,100.0,97.3,True,True,True
12-26-0048-46,12-26-0050-46,"COLEGIO INTEGRAL ""BLASE PASCAL""","COLEGIO INTEGRAL ""BLASE PASCAL""",100.0,97.1,False,True,True
12-26-0053-46,12-26-0054-46,"""COLEGIO DE ESTUDIOS SUPERIORES SIPACAPA"" -CESS-","""COLEGIO DE ESTUDIOS SUPERIORES SIPACAPA"" -CESS-",100.0,100.0,False,True,True
12-07-0205-46,12-07-0225-46,"COLEGIO CRISTIANO BILINGUE ""BLUE-SKY""","COLEGIO CRISTIANO BILINGUE ""BLUE-SKY""",100.0,97.3,False,True,True
12-07-0213-46,12-07-0214-46,"INSTITUTO TECNOLÓGICO ""ESPERANZA""","INSTITUTO TECNOLÓGICO ""ESPERANZA""",100.0,100.0,True,True,True
12-07-0233-46,12-07-0258-46,"COLEGIO EVANGÉLICO C.A. ""ALFA Y OMEGA""","COLEGIO EVANGELICO C.A. ""ALFA Y OMEGA""",100.0,97.4,True,True,True
12-10-0085-46,12-10-4713-46,COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,100.0,95.5,True,True,True
